l,h
210,76
210,76
210,76
210,76
160,76
160,76
280,76
280,76
280,76
210,76
210,76
210,76
210,76
210,76
210,76
205,76
235,76
235,76
160,38
225,38
225,38
187,76
175,76
180,76
160,76
160,76
160,76
160,76
210,76
210,76
144,26
160,38
120,38
140,38
170,76
170,76
90,76
147,38
145,38
120,32
140,32
140,38
140,38
140,38
140,76
140,76
170,34
170,22
170,22
120,38
120,38
117,38
170,38
170,38
156,38
140,38
173,38
170,76
170,76
170,38
170,38
120,76
120,34
170,38
160,55
140,34
140,34
120,32
140,26
151,34
151,34
145,30
145,38
140,38
100,38
437,76
140,76
125,76
380,76
380,76
140,76
140,76
132,32
190,38
190,34
190,34
158,20
242,38
175,38
175,38
203,38
270,38
167,38
165,55
180,34
182,34
232,34
230,76
230,76
165,38
165,55
165,20
165,34
106,38
258,76
258,76
251,76
251,76
257,38
204,38
204,38
220,28
220,24
357,38
425,26
325,34
369,76
292,76
292,76
412,76
412,76
290,76
290,76
447,76
447,76
200,76
212,38
184,38
145,38
133,38
110,38
180,38
165,55
222,76
222,76
180,76
180,76
180,76
180,76
180,76
190,55
190,55
120,38
120,38
323,38
358,38
363,38
345,38
439,76
439,76
416,76
362,76
99,38
115,38
100,22
163,38
199,20
160,55
192,55
165,55
256,55
256,55
280,76
140,76
280,76
140,76
215,76
160,76
183,76
192,38
297,38
301,38
306,38
180,38
180,38
180,38
353,76
353,76
115,55
115,55
60,20
60,38
190,55
190,55
234,38
195,28
60,38
60,38
60,26
140,76
140,76
120,55
120,55
177,20
144,32
215,76
215,76
180,55
172,55
172,55
215,76
215,76
115,55
115,55
161,76
301,38
210,76
210,76
210,76
220,76
220,76
220,76
220,76
220,76
220,76
220,76
184,38
184,36
183,34
181,26
318,76
376,76
376,76
449,76
449,76
416,76
416,76
420,76
420,76
258,30
258,30
168,76
168,76
168,76
168,76
153,38
153,38
170,76
170,76
222,76
222,76
165,38
165,38
171,76
171,76
170,76
170,76
208,76
208,76
180,76
180,76
274,76
210,76
211,76
211,76
220,76
220,76
220,76
220,76
170,76
170,76
159,38
159,38
131,55
236,76
140,76
220,76
220,76
109,38
195,55
195,55
220,55
220,55
170,55
140,55
276,76
276,76
200,55
200,55
198,76
195,76
171,76
171,76
220,76
220,76
220,76
131,55
220,55
220,55
140,55
140,55
200,55
151,34
165,38
195,55
195,55
200,55
200,55
167,76
167,76
140,55
179,26
161,28
230,76
220,76
167,76
167,76
220,76
220,76
220,76
220,76
220,76
220,76
187,38
187,38
220,76
220,76
178,22
188,30
131,55
220,76
220,76
220,76
220,76
195,55
195,55
140,76
220,76
220,76
232,76
222,76
220,76
220,76
220,76
165,38
198,34
198,34
240,76
240,76
240,76
165,34
159,34
140,55
140,55
180,38
179,38
179,38
179,38
140,55
220,76
220,76
220,76
218,55
221,55
221,55
245,76
220,76
120,26
220,76
220,76
220,76
220,76
220,76
220,76
220,76
220,76
220,76
297,76
325,76
323,76
197,76
196,76
114,26
114,26
130,55
130,55
200,55
220,55
127,28
140,55
131,55
90,18
144,28
245,76
245,76
245,76
176,76
176,76
220,38
218,38
140,76
90,55
90,55
115,38
160,55
90,55
90,55
217,76
220,76
170,76
170,76
170,76
90,55
175,26
157,28
157,28
90,55
140,76
140,76
243,32
180,55
180,55
200,12
200,12
490,76
490,76
220,76
220,76
220,76
220,76
245,76
245,76
220,76
220,76
170,76
170,76
220,76
220,76
196,55
196,55
157,55
157,55
90,55
90,55
503,76
403,76
297,76
297,76
401.75,76
401.75,76
400,76
400,76
140,30
140,30
170,55
170,55
163,26
175,28
140,76
140,76
120,28
140,55
200,38
225,10
132,12
140,55
140,55
140,55
90,55
170,76
404,76
232,38
403,76
232,76
170,76
252,76
322,76
170,76
150,55
150,55
180,38
180,38
283,38
283,38
178,38
140,55
140,55
245,76
245,76
245,76
140,55
140,55
140,55
190,26
90,26
90,55
90,26
147,38
190,76
190,76
190,76
90,55
302,76
302,76
245,76
245,76
245,76
140,55
140,55
140,55
85,38
90,55
90,55
90,55
225,76
225,76
140,55
140,55
140,55
206,26
170,28
152,30
120,38
206,22
214,22
140,26
220,38
205,38
90,55
170,55
170,55
90,55
110,55
401,76
401,76
203,96
203,96
438,76
438,76
627,76
627,76
475,76
475,76
438,76
438,76
239.5,96
239.5,96
220.5,96
220.5,96
140,76
140,76
208,96
208,96
178,96
178,96
263,96
263,96
163,96
163,96
208,96
208,96
211,96
211,96
206,96
209,96
209,96
210,96
208,96
217,96
197,96
197,96
275,76
305,76
151,96
